frequency_Hz,mag_dB,phase_deg,step_index,step_k
10.0,-0.14116439095816535,-0.28783533017978086,0,0.1
10.069555500567189,-0.1411521301037681,-0.2898377844001809,0,0.1
10.139594797900294,-0.14112764086058271,-0.29185254818401435,0,0.1
10.210121257071936,-0.14113025947255392,-0.2938850300861238,0,0.1
10.281138266560667,-0.14111412033160406,-0.295929129715265,0,0.1
10.352649238413779,-0.14111200612745362,-0.29798940986239036,0,0.1
10.424657608411218,-0.14109443642268427,-0.3000619208172589,0,0.1
10.497166836230678,-0.14108436333121466,-0.3021499252123348,0,0.1
10.57018040561381,-0.14107196886988752,-0.30425216515021736,0,0.1
10.643701824533608,-0.14106709751103463,-0.30637013052277345,0,0.1
10.71773462536294,-0.14105337742953827,-0.30850161130438913,0,0.1
10.792282365044281,-0.14103737638057473,-0.3106476282857438,0,0.1
10.867348625260592,-0.14103549368153556,-0.31281065075358594,0,0.1
10.942937012607405,-0.1410116953466491,-0.3149855787529935,0,0.1
11.019051158766118,-0.14100859793429432,-0.31717870123749653,0,0.1
11.095694720678463,-0.14099344480511572,-0.31938535104384863,0,0.1
11.172871380722214,-0.14096952761306866,-0.3216060881042236,0,0.1
11.250584846888108,-0.14097618694296185,-0.3238468835532447,0,0.1
11.328838852958,-0.1409478949029024,-0.3260980624102309,0,0.1
11.407637158684253,-0.14094037834777864,-0.32836808492527986,0,0.1
11.486983549970367,-0.1409208811037139,-0.33065211975444425,0,0.1
11.566881839052892,-0.14091563632212212,-0.3329542782209692,0,0.1
11.647335864684578,-0.14089844237226473,-0.33527065682710744,0,0.1
11.728349492318808,-0.14088897858306595,-0.33760440156419486,0,0.1
11.809926614295325,-0.14087087521298897,-0.3399530785516568,0,0.1
11.892071150027233,-0.1408572577267491,-0.3423188513038842,0,0.1
11.97478704618931,-0.14084486571804783,-0.3447013303545622,0,0.1
12.05807827690763,-0.14082716168914028,-0.34709958697338394,0,0.1
12.141948843950495,-0.1408238265638628,-0.3495169004956296,0,0.1
12.226402776920713,-0.1408021050393415,-0.351948107801651,0,0.1
12.31144413344919,-0.14078823313723038,-0.3543975638331563,0,0.1
12.397076999389895,-0.14076911964971373,-0.3568632551562869,0,0.1
12.48330548901615,-0.14075789211913606,-0.35934746495049485,0,0.1
12.570133745218314,-0.1407381823734338,-0.3618476037951264,0,0.1
12.657565939702833,-0.1407198411632431,-0.3643654236202901,0,0.1
12.745606273192656,-0.1407094422897442,-0.366902167174027,0,0.1
